transaction_id,amount,transaction_hour,transactions_last_24h,account_age_days,device_changes_7d,location_changes_7d,is_fraud
TXN000172,27.29,10,5,260,1,0,0
TXN000173,51.13,19,2,151,0,2,0
TXN000174,72.96,14,4,916,0,0,0
TXN000175,69.07,13,4,252,0,0,0
TXN000176,110.29,8,8,44,0,0,1
TXN000177,55.2,13,1,951,1,1,0
TXN000178,187.82,10,4,300,0,0,0
TXN000179,43.6,21,2,113,1,2,0
TXN000180,551.23,20,3,372,0,2,0
TXN000181,92.93,7,2,319,0,0,0
TXN000182,26.35,14,1,711,1,2,0
TXN000183,21.97,10,9,1089,1,0,1
TXN000184,82.28,12,1,727,0,1,0
TXN000185,45.15,20,1,167,0,0,0
TXN000186,100.17,14,5,228,1,0,0
TXN000187,81.63,11,3,165,1,0,0
TXN000188,51.32,9,2,809,1,1,0
TXN000189,26.58,18,4,459,1,0,0
TXN000190,15.07,15,5,439,0,0,0
TXN000191,37.35,13,1,120,0,0,0
TXN000192,113.06,9,1,392,0,2,0
TXN000193,65.5,11,4,597,0,0,0
TXN000194,18.94,22,7,249,0,0,0
TXN000195,63.26,14,5,71,0,0,0
TXN000196,75.76,12,4,103,0,0,0
TXN000197,25.76,14,4,918,0,0,0
TXN000198,62.22,18,1,864,2,0,0
TXN000199,57.37,11,2,1015,0,1,0
TXN000200,20.67,9,4,703,1,0,0
TXN000201,74.0,15,3,210,0,0,0
TXN000202,87.94,16,2,752,1,1,0
TXN000203,137.08,17,3,233,0,1,0
TXN000204,133.72,20,3,303,0,0,0
TXN000205,16.93,12,3,523,0,1,0
TXN000206,24.6,6,7,288,0,1,0
TXN000207,84.59,22,5,212,1,0,0
TXN000208,84.5,12,1,317,0,1,0
TXN000209,84.59,15,3,701,1,1,0
TXN000210,1443.49,16,5,231,0,0,1
TXN000211,88.7,14,5,212,0,0,0
TXN000212,143.34,9,6,229,0,2,0
TXN000213,122.84,17,2,100,0,0,0
TXN000214,94.98,18,4,124,0,1,0
TXN000215,41.76,14,6,158,0,1,0
TXN000216,104.08,13,1,253,1,0,0
TXN000217,28.31,8,1,460,0,1,0
TXN000218,44.64,7,1,73,1,0,0
TXN000219,36.14,11,3,518,1,0,0
TXN000220,58.53,11,4,915,1,0,0
TXN000221,390.51,21,2,170,1,1,0
TXN000222,11.17,18,3,438,0,0,0
TXN000223,97.84,16,3,133,0,0,0
TXN000224,13.86,14,4,326,1,0,0
TXN000225,36.56,9,6,359,0,0,0
TXN000226,137.77,22,2,587,0,1,0
TXN000227,57.66,12,5,1393,0,0,0
TXN000228,21.84,7,2,284,0,1,0
TXN000229,29.73,13,4,319,0,0,0
TXN000230,97.29,20,3,334,0,0,1
TXN000231,29.35,20,4,377,0,2,0
TXN000232,65.63,0,4,401,0,0,1
TXN000233,56.75,20,6,273,2,0,0
TXN000234,31.38,10,6,1085,0,0,0
TXN000235,337.77,3,3,330,0,0,0
TXN000236,93.58,19,5,191,0,1,0
TXN000237,9.76,19,1,312,1,0,0
TXN000238,63.97,15,2,347,0,0,0
TXN000239,31.11,14,4,345,1,3,1
TXN000240,112.68,18,5,364,0,0,0
TXN000241,27.84,18,4,699,0,0,0
TXN000242,49.52,20,2,1050,0,1,0
TXN000243,83.87,14,7,473,1,1,0
TXN000244,113.97,22,1,745,1,1,0
TXN000245,19.68,23,2,364,0,1,0
TXN000246,41.09,8,4,366,0,1,0
TXN000247,36.46,19,4,213,0,2,0
TXN000248,31.33,13,8,679,0,1,1
TXN000249,244.85,12,2,1128,0,2,1
TXN000250,77.03,15,1,883,0,1,0
TXN000251,18.69,5,6,523,0,0,0
TXN000252,119.13,13,1,425,0,0,0
TXN000253,331.57,19,1,426,0,0,0
TXN000254,131.31,9,1,778,0,1,0
TXN000255,15.01,12,3,294,1,1,0
TXN000256,36.18,21,5,138,0,0,0
TXN000257,160.27,12,2,328,0,1,0
TXN000258,29.92,11,4,156,0,1,0
TXN000259,79.62,13,4,344,0,0,0
TXN000260,105.47,14,5,162,0,2,0
TXN000261,24.83,15,2,554,0,0,0
TXN000262,51.9,18,4,251,0,0,0
TXN000263,5.0,13,4,245,0,1,0
TXN000264,22.86,18,4,484,0,0,0
TXN000265,44.05,14,2,174,0,0,0
TXN000266,18.9,11,4,181,1,0,0
TXN000267,218.67,16,5,328,0,2,0
TXN000268,16.19,17,3,628,0,0,0
TXN000269,37.56,14,6,69,1,1,0
TXN000270,61.02,5,1,591,0,1,0
TXN000271,185.88,9,3,284,0,1,0
TXN000272,16.11,10,3,402,2,1,0
TXN000273,146.74,10,4,472,0,1,0
TXN000274,55.08,16,4,121,0,1,0
TXN000275,23.71,1,6,545,0,0,0
TXN000276,80.87,17,1,1073,1,0,0
TXN000277,64.66,10,4,291,1,0,0
TXN000278,32.78,11,2,424,0,0,0
TXN000279,57.94,14,4,442,0,0,0
TXN000280,39.35,9,6,102,0,2,0
TXN000281,60.13,20,3,699,0,0,0
TXN000282,95.85,7,2,97,1,1,0
TXN000283,210.21,13,5,475,0,3,0
TXN000284,19.07,19,3,333,1,0,0
TXN000285,334.65,15,5,519,0,0,0
TXN000286,10.39,11,2,113,1,1,0
TXN000287,47.99,12,5,237,0,1,0
TXN000288,90.02,17,2,64,0,0,0
TXN000289,69.33,22,4,225,1,2,0
TXN000290,32.16,20,0,221,0,1,0
TXN000291,45.75,11,4,287,0,0,0
TXN000292,35.91,23,1,672,0,0,0
TXN000293,33.08,0,2,552,0,0,1
TXN000294,112.41,2,1,39,1,1,0
TXN000295,73.96,19,0,243,0,0,0
TXN000296,30.3,9,3,119,2,0,0
TXN000297,117.29,6,4,65,0,1,0
TXN000298,70.9,10,0,318,0,0,0
TXN000299,108.95,12,8,186,0,1,1
TXN000300,93.24,17,3,617,0,0,0
TXN000301,26.99,15,4,553,1,0,0
TXN000302,33.91,10,3,351,0,0,0
TXN000303,103.05,13,1,424,0,0,0
TXN000304,91.73,21,3,871,1,0,0
TXN000305,53.64,18,5,365,0,0,0
TXN000306,60.32,11,2,407,0,2,0
TXN000307,161.74,23,3,340,0,0,0
TXN000308,33.02,17,3,369,0,0,0
TXN000309,86.92,6,2,127,1,0,0
TXN000310,45.98,3,4,474,0,0,1
TXN000311,45.38,9,4,253,0,2,0
TXN000312,138.93,17,5,681,1,1,0
TXN000313,110.12,9,1,141,0,0,0
TXN000314,109.01,14,1,261,0,1,0
TXN000315,165.61,7,3,147,0,0,0
TXN000316,55.58,21,2,107,0,1,0
TXN000317,97.48,11,4,414,1,0,0
TXN000318,41.94,20,3,578,0,0,0
TXN000319,71.92,21,3,465,0,0,0
TXN000320,48.88,0,1,274,0,0,0
TXN000321,59.29,13,2,234,1,0,0
TXN000322,90.55,2,5,72,0,1,0
TXN000323,27.24,20,2,124,1,2,0
TXN000324,323.28,14,3,375,0,1,0
TXN000325,23.22,6,2,100,0,0,0
TXN000326,19.45,8,3,272,0,0,0
TXN000327,146.12,12,2,1083,0,0,0
TXN000328,107.01,21,3,341,1,0,0
TXN000329,92.81,16,2,231,0,0,0
TXN000330,93.14,19,4,607,1,0,0
TXN000331,54.03,12,1,943,0,0,0
TXN000332,25.47,4,1,891,0,0,0
TXN000333,58.23,22,2,360,0,1,0
TXN000334,30.7,1,2,643,0,2,1
TXN000335,125.07,21,3,352,0,0,0
TXN000336,48.18,12,3,186,0,2,0
TXN000337,27.07,0,4,65,0,1,0
TXN000338,41.55,16,3,189,1,0,0
TXN000339,77.56,22,2,211,0,0,0
TXN000340,33.81,22,5,235,0,1,0
TXN000341,27.14,9,5,145,1,0,0
TXN000342,67.16,9,2,262,1,0,0
TXN000343,67.24,14,6,193,0,1,0
TXN000344,35.48,15,2,669,0,0,0
TXN000345,36.58,17,4,262,0,1,0
TXN000346,66.5,9,2,462,0,0,0
TXN000347,15.94,22,6,192,1,1,0
TXN000348,16.5,15,1,467,0,0,0
TXN000349,29.65,19,2,401,1,0,0
TXN000350,45.54,14,1,304,0,1,0
TXN000351,71.11,12,2,173,0,0,0
TXN000352,191.34,22,4,96,0,0,0
TXN000353,113.18,15,5,247,0,0,0
TXN000354,47.66,19,3,449,0,3,1
TXN000355,53.72,21,5,715,0,0,0
TXN000356,23.29,16,7,237,0,1,0
TXN000357,53.75,14,1,92,0,0,0
TXN000358,42.72,0,2,483,0,0,1
TXN000359,71.83,3,6,303,1,1,0
TXN000360,27.03,9,4,216,0,0,0
TXN000361,84.9,9,5,451,0,0,0
TXN000362,200.9,10,2,304,0,0,0
TXN000363,49.78,11,1,342,1,2,0
TXN000364,76.82,11,6,740,0,1,0
TXN000365,98.16,12,5,225,2,0,0
TXN000366,38.82,7,4,292,0,0,0
TXN000367,66.05,4,1,816,1,1,0
TXN000368,55.19,16,2,539,1,1,0
TXN000369,59.32,14,4,593,0,1,0
TXN000370,28.3,13,5,626,0,0,0
TXN000371,55.75,15,4,199,0,0,0
TXN000372,83.37,19,8,337,0,0,1
TXN000373,187.44,12,3,160,0,0,0
TXN000374,123.39,16,6,619,0,0,0
TXN000375,340.43,21,2,294,1,1,0
TXN000376,28.44,19,2,415,0,0,0
TXN000377,114.6,12,3,500,0,0,0
TXN000378,63.81,16,1,44,0,0,0
TXN000379,351.19,9,2,382,0,3,1
TXN000380,27.47,14,3,843,2,0,0
TXN000381,26.74,22,3,14,1,0,0
TXN000382,32.8,14,4,673,0,1,0
TXN000383,8.98,21,6,494,1,0,0
TXN000384,34.92,12,2,430,1,0,0
TXN000385,28.64,23,5,261,1,0,1
TXN000386,62.04,15,2,230,1,0,0
TXN000387,73.0,4,2,426,0,0,0
TXN000388,269.01,15,3,171,0,1,0
TXN000389,122.47,10,4,135,0,0,0
TXN000390,33.44,2,3,979,2,2,1
TXN000391,25.44,19,5,649,0,1,0
TXN000392,82.94,10,5,428,0,1,0
TXN000393,17.78,18,4,275,1,1,0
TXN000394,258.98,10,2,217,0,0,0
TXN000395,148.79,9,2,323,2,0,0
TXN000396,36.64,22,6,422,0,0,0
TXN000397,12.73,11,3,307,0,0,0
TXN000398,172.57,15,2,118,1,0,0
TXN000399,49.53,15,3,323,1,0,0
TXN000400,156.36,14,5,68,1,0,0
TXN000401,14.08,20,4,594,0,0,0
TXN000402,32.8,16,9,475,0,1,1
TXN000403,54.84,12,1,615,0,0,0
TXN000404,56.82,19,2,137,0,0,1
TXN000405,37.24,9,3,431,0,0,0
TXN000406,92.71,14,8,234,0,0,1
TXN000407,22.03,21,5,488,1,0,0
TXN000408,48.37,15,7,466,0,1,0
TXN000409,60.48,18,3,744,0,0,0
TXN000410,84.54,16,3,466,1,2,0
TXN000411,99.97,19,1,246,0,1,0
TXN000412,20.99,21,2,291,1,0,0
TXN000413,14.82,10,2,1092,0,0,0
TXN000414,161.75,9,1,672,0,0,0
TXN000415,72.42,13,3,650,1,1,0
TXN000416,28.9,17,1,293,0,0,0
TXN000417,204.07,10,3,802,0,0,0
TXN000418,60.24,0,1,859,1,0,0
TXN000419,148.77,11,2,28,0,0,0
TXN000420,57.82,22,5,312,1,0,0
TXN000421,314.71,16,2,151,0,0,0
TXN000422,242.75,12,5,105,0,0,0
TXN000423,44.18,9,7,299,0,1,0
TXN000424,124.69,11,4,404,0,0,0
TXN000425,94.5,9,4,385,1,0,0
TXN000426,174.75,7,0,703,0,0,0
TXN000427,24.04,20,1,1068,0,1,0
TXN000428,97.82,23,5,587,1,1,1
TXN000429,134.24,9,5,1273,0,0,0
TXN000430,12.24,5,5,501,0,0,0
TXN000431,19.97,11,2,630,0,0,0
TXN000432,9.65,13,10,364,0,1,1
TXN000433,43.42,9,0,177,1,1,0
TXN000434,100.48,11,4,1096,0,1,0
TXN000435,195.78,9,1,124,0,0,0
TXN000436,58.15,18,3,477,0,0,0
TXN000437,217.96,17,3,175,1,0,0
TXN000438,16.89,15,5,449,1,1,0
TXN000439,12.83,12,0,843,0,0,0
TXN000440,52.08,20,0,67,0,1,0
TXN000441,75.68,22,4,266,0,0,0
TXN000442,53.1,9,3,297,0,0,0
TXN000443,9.42,10,5,713,0,0,0
TXN000444,50.61,14,4,395,0,0,0
TXN000445,18.01,7,3,268,1,0,0
TXN000446,96.47,13,3,638,0,0,0
TXN000447,74.56,15,1,376,0,0,0
TXN000448,24.56,14,1,191,0,1,0
TXN000449,35.28,11,4,111,0,0,0
TXN000450,22.19,14,6,189,0,0,0
TXN000451,51.77,22,4,132,1,0,0
TXN000452,122.96,9,6,384,0,3,1
TXN000453,23.62,16,5,487,0,0,1
TXN000454,83.8,4,4,426,0,0,0
TXN000455,34.79,6,2,60,2,0,0
TXN000456,27.83,14,3,1064,0,1,0
TXN000457,49.85,7,1,585,1,0,0
TXN000458,22.65,1,2,328,0,0,0
TXN000459,34.1,9,3,371,1,1,0
TXN000460,19.72,14,2,851,2,0,0
TXN000461,290.04,17,3,297,0,2,0
TXN000462,56.26,9,2,214,0,2,0
TXN000463,30.12,16,3,355,0,1,0
TXN000464,65.49,9,2,427,0,0,0
TXN000465,49.63,15,1,411,0,0,0
TXN000466,45.25,12,4,390,0,0,0
TXN000467,92.02,16,1,246,0,0,0
TXN000468,103.95,23,6,492,0,0,1
TXN000469,34.78,21,3,365,0,0,0
TXN000470,33.47,0,3,271,0,0,1
TXN000471,43.22,20,5,1002,0,0,0
TXN000472,7.72,6,4,129,1,0,1
TXN000473,15.06,21,6,137,1,2,0
TXN000474,174.49,10,2,562,1,0,0
TXN000475,221.01,12,4,156,0,0,0
TXN000476,44.18,7,9,482,1,1,1
TXN000477,89.13,8,2,827,0,0,0
TXN000478,71.13,17,1,889,1,1,0
TXN000479,747.74,21,3,272,0,0,0
TXN000480,141.41,15,3,275,1,1,0
TXN000481,48.97,17,1,344,0,0,0
TXN000482,24.23,18,5,50,0,1,0
TXN000483,13.94,10,3,76,1,1,0
TXN000484,64.91,4,5,108,0,3,1
TXN000485,28.71,0,4,251,0,0,0
TXN000486,16.3,11,5,268,1,1,0
TXN000487,31.51,10,3,243,0,0,0
TXN000488,21.77,6,1,266,1,0,0
TXN000489,229.08,9,3,767,2,1,0
TXN000490,115.51,8,4,616,0,1,0
TXN000491,54.23,20,3,323,0,1,0
TXN000492,192.09,8,2,249,0,2,0
TXN000493,58.31,14,6,299,1,0,0
TXN000494,26.26,15,2,570,0,0,0
TXN000495,199.27,14,4,160,0,0,0
TXN000496,86.32,7,2,738,0,0,0
TXN000497,22.61,11,7,1203,0,0,0
TXN000498,46.44,5,7,981,1,1,0
TXN000499,25.94,12,2,271,0,0,0
TXN000500,16.85,9,5,187,0,0,0
TXN000501,119.97,14,3,42,0,0,0
TXN000502,276.72,16,3,301,0,0,0
TXN000503,16.63,14,1,67,0,0,0
TXN000504,88.1,12,2,270,0,0,0
TXN000505,31.4,12,4,201,0,0,0
TXN000506,36.09,19,5,1097,0,1,0
TXN000507,33.0,9,2,198,0,0,0
TXN000508,26.2,17,2,563,2,0,0
TXN000509,56.9,17,0,586,1,0,0
TXN000510,26.94,12,5,197,0,0,0
TXN000511,68.71,11,2,60,0,1,0
TXN000512,52.32,13,2,582,1,0,0
TXN000513,44.56,7,4,251,0,0,0
TXN000514,25.24,4,6,799,1,0,0
TXN000515,33.44,8,1,497,0,1,0
TXN000516,103.76,9,2,290,0,1,0
TXN000517,83.58,13,1,372,0,1,0
TXN000518,23.79,19,2,250,0,1,0
TXN000519,59.41,10,2,153,2,0,0
TXN000520,103.41,21,1,501,0,1,0
TXN000521,13.21,22,4,685,0,0,0
TXN000522,86.65,22,2,472,0,0,0
TXN000523,31.09,19,2,607,1,0,0
TXN000524,88.68,12,0,269,0,0,0
TXN000525,28.54,6,3,166,0,0,0
TXN000526,11.77,14,5,161,0,0,0
TXN000527,13.69,14,2,421,0,1,0
TXN000528,56.88,19,2,260,0,1,0
TXN000529,68.09,23,6,1003,0,0,0
TXN000530,25.31,13,1,264,1,0,0
TXN000531,93.95,11,4,2000,0,0,1
TXN000532,13.3,9,4,533,0,1,0
TXN000533,51.62,0,4,43,0,1,1
TXN000534,19.5,14,1,24,0,1,0
TXN000535,31.37,14,4,230,1,0,0
TXN000536,56.84,19,3,827,2,1,0
TXN000537,26.28,13,3,386,0,0,0
TXN000538,39.37,20,5,192,0,1,0
TXN000539,128.43,15,5,565,0,0,0
TXN000540,33.44,19,2,986,1,0,0
TXN000541,111.09,8,1,630,1,2,0
TXN000542,20.9,19,3,488,0,0,0
TXN000543,85.66,16,1,104,0,0,0
TXN000544,185.92,9,3,231,0,1,0
TXN000545,6.68,9,5,498,0,1,0
TXN000546,27.73,21,5,540,0,1,0
TXN000547,89.17,2,1,259,1,0,1
TXN000548,45.94,13,4,204,1,0,0
TXN000549,74.85,11,1,71,1,0,0
TXN000550,32.68,16,2,351,0,0,0
TXN000551,58.77,19,2,576,0,1,0
TXN000552,47.83,11,1,561,0,0,0
TXN000553,147.32,12,2,54,1,1,0
TXN000554,67.78,23,1,560,0,3,1
TXN000555,72.75,18,4,926,1,0,0
TXN000556,38.47,20,3,325,0,0,0
TXN000557,36.07,13,3,622,1,2,0
TXN000558,37.8,10,6,322,0,0,1
TXN000559,76.35,12,5,129,1,0,0
TXN000560,38.17,17,1,224,0,1,0
TXN000561,69.85,8,1,509,2,0,0
TXN000562,318.65,10,1,587,0,0,0
TXN000563,114.49,4,4,157,1,0,0
TXN000564,41.38,12,2,962,2,0,0
TXN000565,151.57,19,3,1005,1,1,0
TXN000566,38.6,2,1,156,1,3,1
TXN000567,9.66,16,3,731,0,2,0
TXN000568,23.18,21,4,497,0,0,0
TXN000569,11.13,10,2,266,0,0,0
TXN000570,40.5,16,4,111,1,0,0
TXN000571,55.46,22,9,1011,0,0,1
TXN000572,227.0,22,4,336,0,1,0
TXN000573,72.09,10,4,72,0,1,0
TXN000574,45.32,7,4,889,1,0,0
TXN000575,110.5,8,3,464,1,1,0
TXN000576,8.34,17,1,188,0,0,0
TXN000577,66.7,17,4,368,0,1,0
TXN000578,105.13,16,1,631,0,1,0
TXN000579,15.54,11,3,253,0,0,0
TXN000580,144.34,9,7,236,0,0,0
TXN000581,72.8,15,3,201,0,0,0
TXN000582,38.36,13,2,181,0,0,0
TXN000583,93.49,17,4,408,0,0,0
TXN000584,376.19,13,3,46,1,0,0
TXN000585,63.73,11,2,263,1,0,0
TXN000586,67.42,11,1,494,0,0,0
TXN000587,36.95,9,7,83,0,0,0
TXN000588,26.51,10,5,611,0,2,0
TXN000589,110.59,7,5,743,0,0,0
TXN000590,26.37,11,2,641,0,1,0
TXN000591,58.02,3,8,853,0,0,1
TXN000592,36.38,9,5,366,0,0,0
TXN000593,82.03,17,5,188,0,1,0
TXN000594,72.5,11,2,859,1,0,0
TXN000595,131.88,16,5,278,0,0,0
TXN000596,35.39,17,2,222,0,0,0
TXN000597,43.41,15,4,295,0,1,0
TXN000598,23.76,22,0,138,0,0,0
TXN000599,37.43,1,2,214,0,1,1
TXN000600,75.24,17,3,355,0,0,0
TXN000601,103.9,22,7,890,0,3,1
TXN000602,24.93,19,5,325,0,0,0
TXN000603,114.34,9,5,575,1,0,0
TXN000604,172.83,11,4,176,0,0,0
TXN000605,77.59,9,1,831,1,1,0
TXN000606,269.15,15,3,1331,0,0,0
TXN000607,28.28,17,5,904,0,3,1
TXN000608,18.95,11,2,632,1,0,0
TXN000609,12.04,14,3,127,0,1,0
TXN000610,194.73,16,2,272,0,0,0
TXN000611,95.22,12,2,56,1,0,0
TXN000612,52.08,19,3,254,1,0,0
TXN000613,69.27,18,5,446,0,0,0
TXN000614,20.98,6,4,619,0,0,0
TXN000615,436.54,15,0,311,0,0,0
TXN000616,60.94,10,3,550,0,0,0
TXN000617,59.92,14,1,447,0,0,0
TXN000618,101.18,22,3,202,2,0,1
TXN000619,82.18,20,3,180,0,0,0
TXN000620,66.04,12,4,628,1,1,0
TXN000621,27.89,11,4,485,0,1,0
TXN000622,81.51,10,5,319,1,0,0
TXN000623,270.35,14,1,86,0,0,0
TXN000624,171.33,8,1,714,0,0,0
TXN000625,211.5,14,1,176,1,1,0
TXN000626,35.36,0,3,511,1,2,0
TXN000627,23.54,11,1,262,1,1,0
TXN000628,49.06,9,1,344,1,0,0
TXN000629,57.25,22,1,504,0,0,0
TXN000630,138.39,17,4,43,0,0,0
